tweet,topic,sentiment_label,sentiment_score
message examine,0,1,-0.069796816
add myspace myspacecomlookthunder,0,1,0.053184994
sleepy good times tonight though,0,2,0.89225394
someone already said fiber home mean least regular,0,1,-0.12099082
23 24c possible today nice,0,2,0.9398368
nite twitterville workout ciao,0,1,0.0761905
night darlin sweet dreams,0,2,0.65744925
good morning everybody,0,2,0.8113118
finally created wordpress blog theres already blog seattle coffee community,0,1,0.36933416
kisha cnt get u til get frm u remember ur top,0,1,-0.17694929
probs sell nothing blog ill get listen band itunes,0,1,-0.15316373
quotnokla connecting peoplequot,0,1,0.07459036
read new job congratulations thats fantastic,0,2,0.9858555
woo thanks ron steeve following yeow folowerssss ps wan na got ellen show,3,2,0.84951735
yeah sure sisters take extra gd care,0,1,0.21264708
u know minichocolates shape liquor bottles liqour inside em,0,1,-0.025058117
testing see twitter works thro facebook,0,1,-0.01016254
cold man loving weather,0,2,0.84077096
ok guys weve officially launched new languages really fun ask,0,2,0.97658956
lady bought bracelet pictured twitter page background still wearing week later hasnt taken likes,0,1,-0.3649401
dwanb ate filet american morning cant see pic mobile twitter,0,0,-0.5123583
know sound voice great need euh finetuning,2,2,0.53717184
cupcake heaven check shop nice weird contact info popup tho,0,2,0.5415385
someone turn shower please,0,1,-0.039760724
love new song chorus real nice catchy gud job track recording jordan,0,2,0.9834748
alrite thanxx,0,1,-0.0013377964
looking forward new website,0,2,0.9526687
awww sweetness hes still cutie,0,2,0.8845658
thinking everything crossed turn baby turn,0,1,-0.03656269
good morning miley,0,2,0.83411443
nothing quite like finding good settings solid state,0,2,0.50094867
paid made redundant two weeks ago need job big time,0,1,-0.3867125
watching steam trains go back forth ravenglass sunny,0,1,0.3219224
yaaaaay jac training sorcerer level 35 means ill pwn soon,0,1,0.47739154
doggy cute,0,2,0.9033561
tell simon quotwho used tuks fmquot says hi,0,1,-0.05783927
wildstarb happy rezday captain quite party,0,2,0.96775824
tweeting cracker barrel,0,1,-0.03785234
check new techno records juno,0,1,0.050322823
go make duty tomorrow goodnight,0,1,0.30673763
yes mam theres nothing like starting day good song dance moves,0,2,0.90844876
brownies good time day,0,2,0.9286819
checking myspace looking bands different states add friends myspace love music,0,2,0.69116086
happy birthday grandpa 3 cats still love,0,2,0.9851433
nose clogged use plunger,0,0,-0.6419511
huy matulog ka na hahah cbroom aint done yet taking shape,0,1,-0.069107436
couldnt come better time,0,2,0.4894964
simple girloatmeal makes really happy morningand blooming wisteria,0,2,0.9785389
thats beautiful lovely thing say,0,2,0.9794952
yay well dont feel spesh,0,1,-0.35081607
mean mc escher painter dj,0,1,-0.020807281
thanks appreciate feedback,0,2,0.91936225
cause dont gems,0,1,-0.31265464
love spontaneous road trips,0,2,0.91688967
friday yet baby,0,1,0.11528495
still employed trouble stuff thats sweet,0,2,0.55156934
lets see well 25 hours sleep holds today predict massive slowdown 1430 funny,0,1,-0.17114452
came back seeing 17 againn gooddd lt3,0,2,0.9617058
maybe maybe,0,1,0.088593364
falling asleep goodnight everyone,0,1,0.3192021
ive living twitter api land long call oauth buttons,0,1,0.06543144
mates gunna chekk movie next weeki really want see boat rocked,0,2,0.8059622
totally agree anna,0,2,0.529236
follow us contact,0,1,0.10701919
love good book,0,2,0.981077
sister another mister kayla,0,1,-0.021372411
sun sky light way time promise willll,0,2,0.4982713
sounds like pretty good night,0,2,0.9440881
happy gilmore,0,2,0.9133674
lmao guess friday bad,0,0,-0.53900313
wish wasnt following could 1000 follower wayne,0,1,-0.16815591
time shower french toast together,0,1,0.24066767
today thunder louisville start derby festival love festivities even im going,0,2,0.8960211
good mornin folks think ill make couple home made egg mcmuffins go excellent coffee clear sunny 58 mornin,0,2,0.9386441
thinks kellan lutz hot smokes,0,1,-0.13308635
okay torn apart work fresh coffee peanut butter toast ill try put back together less crap time,0,1,-0.36136994
today day,0,1,0.11150338
shopped queen st sun yesterday likely last time need find sf equivalent experience,5,1,0.08838718
backgammon birthday meal friend later,1,1,0.2244898
holla chilling way buy maple syrup mmm whats hope youre great morning,0,2,0.958075
made na twitter upload photo updateee,0,1,0.09312573
heyy aww thanks much hun rock xoxo,0,2,0.9631348
heidiii love new single blackoutamazing think dress amazinggg im jealous please answer something,0,2,0.9095014
tempted morning randomly woke 530 fallen asleep 2 sanity important,0,1,0.047532305
great photographs saw guys play westjet street party short set awesome nonetheless,0,2,0.9770248
really liked im ur fan loved ur movies especially shes man funny love lt3,0,2,0.98330396
right back atchya hope youre great day,0,2,0.9794704
got showerrr myspacing,0,1,0.072068945
pipe calling,0,1,-0.0054377764
lmao love good comedy,0,2,0.9546402
